codigo;descricao;preco_compra;preco_varejo;preco_atacado;diferenca;qtd_repos
02430;ABACATE CAT NIP;5,49;12,00;0,00;0,00;0
00185;AEROSSOL MATACURA 100ML;10,49;20,00;0,00;0,00;0
01981;AFASTA POMBO E MORCEGO;41,70;62,50;0,00;0,00;0
01704;AGAPORNIA;50,00;90,00;0,00;0,00;0
01235;AGEMOXI CL 250 MG;69,99;119,00;0,00;0,00;0
00859;AGUA COM GALAO 20 LITROS;18,50;36,00;0,00;0,00;0
00776;AGUA ENTREGA;7,00;13,00;0,00;0,00;0
00775;AGUA LOJA;7,00;11,00;0,00;0,00;0
01358;AIG NUTRPHARME;137,00;220,00;0,00;0,00;0
00435;ALANTOL BISNAGA 25G;43,11;71,50;0,00;0,00;0
00849;ALÃ+APAO PEQUENO;10,00;15,00;0,00;0,00;0
01724;ALCON COLOURS 10GR;7,70;14,50;0,00;0,00;0
00707;ALCON DU FISH GRANULADO 50 GR;7,10;12,50;0,00;0,00;0
00711;ALCON HOLIDAY 15 DIAS;7,12;12,00;0,00;0,00;0
02142;ALCON REPTOLIFE 30 G;8,50;14,90;0,00;0,00;0
00664;ALCON SPIRULINA 10 GR;4,75;7,60;0,00;0,00;0
01466;ALERGOCORT;9,27;17,50;0,00;0,00;0
01691;ALGICIDA DE CHOQUE 1LTR;18,81;48,50;0,00;0,00;0
02228;ALGICIDA MATUTENCAO DA GENCO;13,87;22,00;0,00;0,00;0
02114;ALGICIDA MULTIACAO 1LT HIDRO AZUL;19,50;45,50;0,00;0,00;0
00248;ALICATE DE CORTE DE UNHA MEDIO;14,99;23,00;0,00;0,00;0
01270;ALICATE DE CORTE PEQUENO DE UNHA;8,99;16,00;0,00;0,00;0
01743;ALICATE GUILHOTINA PQNO;13,98;23,00;0,00;0,00;0
02775;ALICATE PESCA;6,99;13,90;0,00;0,00;0
02144;ALICATE SOFT PEQUENO;19,69;33,00;0,00;0,00;0
01194;ALICATE UNHA GRANDE;16,90;27,00;0,00;0,00;0
01609;ALLAX 5ML;17,94;30,90;0,00;0,00;0
02061;ALMOFADA G;40,00;88,00;0,00;0,00;0
02209;ALMOFADA M;40,00;76,00;0,00;0,00;0
00773;ALMOFADA P;40,00;64,00;0,00;0,00;0
01152;AMITRAZ CARRAPATICIDA;4,99;9,50;0,00;0,00;0
01356;ANIMALISSIMO ACESSORIO PET -CANGURU;69,90;119,00;0,00;0,00;0
01237;ANTICLORO GRANDE 100ML;4,99;12,00;0,00;0,00;0
01803;ANZOL 2/0 MARE ALTA;1,68;2,90;0,00;0,00;0
02052;ANZOL 01 E 02 C/10 UNI;2,02;3,80;0,00;0,00;0
01344;ANZOL 4330 4/6/8/10/12 E 14;1,44;3,00;0,00;0,00;0
01802;ANZOL MAREALTA N 10 A 16;2,16;3,50;0,00;0,00;0
02086;ANZOL MARUSEIGO 16 C/ 10 UNID;2,70;5,50;0,00;0,00;0
02225;ANZOL MARUSEIGO N20;3,15;5,50;0,00;0,00;0
01850;ANZOL N2 C/10;1,80;3,00;0,00;0,00;0
01859;APOQUEL 5,4 MG - 20 COMPR.;126,96;126,96;0,00;0,00;0
02333;AQUARIO BETEIRA CUBO;20,00;46,00;0,00;0,00;0
01103;AQUARIO BETEIRA DIAMANTE E DELTA;22,50;52,00;0,00;0,00;0
00654;AQUARIO BETEIRA DUPLA;15,50;44,00;0,00;0,00;0
01224;AQUARIO BETEIRA PEQ;12,00;22,00;0,00;0,00;0
00701;AQUARIO BETEIRA PRISMA HEXAGONAL OU CASINHA;15,00;32,00;0,00;0,00;0
00895;AQUARIO BETEIRA TRIPLA;25,00;55,00;0,00;0,00;0
00600;AQUARIO BETTEIRA C/PEIXE;12,00;35,00;0,00;0,00;0
01312;AQUARIO RETANGULAR N1;25,00;44,00;0,00;0,00;0
01146;AQUARIO RETANGULAR N2;30,00;74,00;0,00;0,00;0
02270;AQUARIO RETANGULAR N3;35,00;82,00;0,00;0,00;0
02268;AQUARIO RETANGULAR N4;40,00;90,00;0,00;0,00;0
01145;AQUARIO RETANGULAR N5;55,00;110,00;0,00;0,00;0
01364;AQUARIO RETANGULAR N6;65,00;152,00;0,00;0,00;0
01302;AREIA BIOCAT 4 KG;9,26;15,00;0,00;0,00;0
02566;AREIA BIOCAT CAMPESTRE 10KG;31,93;47,90;0,00;0,00;0
01826;AREIA BIOCAT FINA CAMPESTRE 4KG;13,26;19,90;0,00;0,00;0
02336;AREIA BIOCAT FINA NATURAL 4 KG;11,93;18,00;0,00;0,00;0
02565;AREIA BIOCAT FLORAL 10KG;28,60;48,00;0,00;0,00;0
02526;AREIA BIOCAT FLORAL 4KG;13,26;19,90;0,00;0,00;0
00737;AREIA BIOCAT ORIGINAL 10KG;23,26;34,90;0,00;0,00;0
01911;AREIA BRANCA PARA PASSARO;4,50;6,50;0,00;0,00;0
01862;AREIA CARE CAT PERFUMADA;7,83;11,80;0,00;0,00;0
01544;AREIA CARECAT 4 KG;6,66;10,50;0,00;0,00;0
02478;AREIA CARECAT PERFUMADA 10 KG;23,32;43,00;0,00;0,00;0
01007;AREIA CARECAT TRAD 4KG;7,44;12,00;0,00;0,00;0
02337;AREIA CARECAT TRAD FINA 4 KG;7,18;11,00;0,00;0,00;0
01010;AREIA CARECAT TRAD FINA 4KG;6,50;11,00;0,00;0,00;0
01608;AREIA CARECAT TRADICIONAL 10 KG;17,70;34,50;0,00;0,00;0
02586;AREIA CARECAT TRADICIONAL FINA 10KG;17,89;31,50;0,00;0,00;0
02005;AREIA CAT LIFE DE MANDIOCA 4 KG;49,98;79,50;0,00;0,00;0
00525;AREIA CINZA P/PASSARO;3,35;4,50;0,00;0,00;0
02120;AREIA PIPICAT CLASSIC;11,00;18,50;0,00;0,00;0
01986;AREIA PURY CAT 4 KG;3,18;6,00;0,00;0,00;0
01824;ARGOLA PARA MORDER;10,76;17,50;0,00;0,00;0
01969;ARMADILHA DE DE BARATA;0,99;4,50;0,00;0,00;0
00253;ARRANHADOR GATO REDONDO GRANDE MASTER;39,90;72,00;0,00;0,00;0
00096;ARROZ COM CASCA CATETO;7,50;12,00;0,00;0,00;0
02152;ASA NUTRE ( TODOS) 250 GR;4,95;9,50;0,00;0,00;0
00714;ASA NUTRI COLEIRO C/400 G;5,95;10,50;0,00;0,00;0
00691;ASA NUTRI PASSARO PRETO;3,85;6,50;0,00;0,00;0
00121;ASA NUTRI SUPER FARINHADA VAREJO;11,20;20,00;0,00;0,00;0
02453;ASANUTRI FARINHADA ALTA PERFORMANCE VAREJO;23,28;38,00;0,00;0,00;0
02289;ASAPRIPICA MAMAO VAREJO;12,28;21,00;0,00;0,00;0
02230;ASATROPICA NATURAL GARRAFA 350 GR;13,15;21,00;0,00;0,00;0
02510;ASPIRADOR NETUNO;48,84;75,00;0,00;0,00;0
02235;ASPIRADOR NYLON HIDRASUL;56,10;93,90;0,00;0,00;0
00360;ATRATEX -G 25G GRANULADO;2,66;4,50;0,00;0,00;0
02084;AURIVET 13G;76,41;114,70;0,00;0,00;0
00101;AVEIA KG;5,04;11,50;0,00;0,00;0
01301;AVITRIN CANTO;13,96;23,00;0,00;0,00;0
01154;AVITRIN MUDA;13,93;24,00;0,00;0,00;0
00201;AZICOX-2 50MG;73,93;111,00;0,00;0,00;0
01017;B LINE NATURAL LIFE CORDEIRO 15 KG;127,77;188,00;0,00;0,00;0
00493;BANHEIRA PAS ACRILICA MEDIA;1,92;4,00;0,00;0,00;0
