Codigo;Descricao;Preco_Compra;Preco_Varejo;Preco_Atacado
2622;A/D;0.0;49.9;0.0
2430;ABACATE CAT NIP;5.49;12.0;0.0
1041;ADAPTADORP/ MANGUEIRA PISCINA;5.1;12.0;0.0
185;AEROSSOL MATACURA 100ML;11.99;20.0;0.0
2729;AFASTA GATO CITROMAX 300G;22.53;38.0;0.0
1981;AFASTA POMBO E MORCEGO;41.7;62.5;0.0
1704;AGAPORNIA;50.0;90.0;0.0
1709;AGEMOXI 50MG;49.6;79.5;0.0
1235;AGEMOXI CL 250 MG;82.95;132.0;0.0
859;AGUA COM GALAO 20 LITROS;18.5;36.0;0.0
776;AGUA ENTREGA;6.5;13.0;0.0
775;AGUA LOJA;6.5;11.0;0.0
1358;AIG NUTRPHARME;137.0;220.0;0.0
2774;AKB GLIFOSATO 480 MATA MATO 10ML/1L;2.19;6.5;0.0
435;ALANTOL BISNAGA 25G;43.11;71.5;0.0
849;ALÃ+APAO PEQUENO;10.0;15.0;0.0
1724;ALCON  COLOURS 10GR;7.7;14.5;0.0
1430;ALCON BASIC 10 GR;8.77;15.0;0.0
1511;ALCON BASIC 50 G;25.96;50.0;0.0
2193;ALCON CLUB BEIJA FLOR 150GR;14.54;26.0;0.0
2477;ALCON COLOURS 10GR;7.7;15.0;0.0
707;ALCON DU FISH GRANULADO 50 GR;7.1;12.5;0.0
711;ALCON HOLIDAY 15 DIAS;7.12;12.0;0.0
1896;ALCON PAPA FILHOTES PSITACIDEOS;16.77;29.5;0.0
1463;ALCON PAPA PARA FILHOTE 160G;16.0;29.5;0.0
2142;ALCON REPTOLIFE 30 G;8.5;14.9;0.0
664;ALCON SPIRULINA 10 GR;4.75;7.6;0.0
1466;ALERGOCORT;9.27;17.5;0.0
1189;ALERGOVET 0,7 MG;40.97;53.5;0.0
1190;ALERGOVET 1,4MG;43.73;85.0;0.0
1699;ALFAFA PRENSADA 500 GR-PRO ROE;13.9;23.5;0.0
1539;ALFAFA RAMA 500G;9.49;18.0;0.0
1440;ALGICIDA CHOQUE D PROF.1L HIDROAZUL;24.2;38.5;0.0
1691;ALGICIDA DE CHOQUE 1LTR;18.81;48.5;0.0
1176;ALGICIDA MANUTENCAO 1 LT HIDROAZUL;15.3;25.0;0.0
2228;ALGICIDA MATUTENCAO DA GENCO;13.87;22.0;0.0
2114;ALGICIDA MULTIACAO 1LT HIDRO AZUL;19.5;45.5;0.0
248;ALICATE DE CORTE DE UNHA MEDIO;14.99;23.0;0.0
1270;ALICATE DE CORTE PEQUENO DE UNHA;8.99;16.0;0.0
